Polynomial with Complex Roots_0_0,x**3 + 2*x**2 + x,tensor(0.2444),-8.554996892948866
Polynomial with Complex Roots_45_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc038a60>>
Polynomial with Complex Roots_45_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc038fa0>>
Polynomial with Complex Roots_45_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c27b7f0>>
Polynomial with Complex Roots_45_31,x*sinh(4),tensor(0.0936),-92.75618270147827
Polynomial with Complex Roots_45_32,3*x**2 - x,tensor(0.2427),-8.738992393919517
Polynomial with Complex Roots_45_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2ec700>>
Polynomial with Complex Roots_45_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810e040>>
Polynomial with Complex Roots_45_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e76d0>>
Polynomial with Complex Roots_45_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e7700>>
Polynomial with Complex Roots_45_37,1/10,tensor(0.),0
Polynomial with Complex Roots_45_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0f7190>>
Polynomial with Complex Roots_45_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1a2130>>
Polynomial with Complex Roots_45_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1a2a00>>
Polynomial with Complex Roots_45_41,x**5 + x,tensor(0.2206),-11.475773721687958
Polynomial with Complex Roots_45_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40a0820>>
Polynomial with Complex Roots_45_43,x**2 + 5*x,tensor(0.2253),-10.825490666293057
Polynomial with Complex Roots_45_44,tan(2*x),tensor(0.0054),-34552.82330032088
Polynomial with Complex Roots_45_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc16df70>>
Polynomial with Complex Roots_45_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810ed00>>
Polynomial with Complex Roots_45_47,x*(x + 3) + x,tensor(0.2297),-10.250172030142895
Polynomial with Complex Roots_45_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc05cf70>>
Polynomial with Complex Roots_45_49,x**2 + 3*x,tensor(0.2322),-9.934310277252234
Polynomial with Complex Roots_45_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0e5580>>
Polynomial with Complex Roots_45_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c338f10>>
Polynomial with Complex Roots_45_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0c4cd0>>
Polynomial with Complex Roots_45_53,6*x + 2,tensor(0.2742),-6.006188022706196
Polynomial with Complex Roots_45_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc105250>>
Polynomial with Complex Roots_45_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c179df0>>
Polynomial with Complex Roots_45_56,-x**2 + x,tensor(0.2093),-13.271163468936484
Polynomial with Complex Roots_45_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c28ef40>>
Polynomial with Complex Roots_45_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0b4d00>>
Polynomial with Complex Roots_45_59,20*x**2 + x,tensor(0.2238),-11.026672456707523
Polynomial with Complex Roots_45_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa015e070>>
Polynomial with Complex Roots_45_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc18b160>>
Polynomial with Complex Roots_45_62,sqrt(2)*x,tensor(0.2206),-11.485995278816869
Polynomial with Complex Roots_45_63,6*x,tensor(0.2096),-13.223474639016231
Polynomial with Complex Roots_45_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40620d0>>
Polynomial with Complex Roots_45_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40627f0>>
Polynomial with Complex Roots_45_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062cd0>>
Polynomial with Complex Roots_45_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062e20>>
Polynomial with Complex Roots_45_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062520>>
Polynomial with Complex Roots_45_69,5*x*(x + cos(x)),tensor(0.2807),-5.569572923720105
Polynomial with Complex Roots_45_70,x*tan(x) + x,tensor(0.2344),-9.672967964732644
Polynomial with Complex Roots_45_71,x**6 + 2*x,tensor(0.2261),-10.709277544481147
Polynomial with Complex Roots_45_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1404f0>>
Polynomial with Complex Roots_45_73,x*cos(x) + x + 2,tensor(0.3018),-4.350527342141019
Polynomial with Complex Roots_45_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0c19a0>>
Polynomial with Complex Roots_45_75,sin(x) + acos(x),tensor(0.2681),-6.452733287311318
Polynomial with Complex Roots_45_76,x*(x + cos(x))**2,tensor(0.2363),-9.44050199095543
Polynomial with Complex Roots_45_77,2*x + 4,tensor(0.4725),-0.24611803321900028
Polynomial with Complex Roots_45_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc038cd0>>
Polynomial with Complex Roots_45_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0a0ee0>>
Polynomial with Complex Roots_45_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0cd760>>
Polynomial with Complex Roots_45_81,-x**2 + x,tensor(0.2093),-13.271163468936484
Polynomial with Complex Roots_45_82,tan(3*x + 2),tensor(0.0606),-238.91272735976472
Polynomial with Complex Roots_45_83,x**3/2,tensor(0.2179),-11.88200807694803
Polynomial with Complex Roots_45_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c118bb0>>
Polynomial with Complex Roots_45_85,(2*x + 1)/x,tensor(0.0580),-262.9153975382658
Polynomial with Complex Roots_45_86,5*x**2 + x,tensor(0.2805),-5.580405325182641
Polynomial with Complex Roots_45_87,x*exp(x - 2),tensor(0.2190),-11.713767393608412
Polynomial with Complex Roots_45_88,x + exp(x + 4),tensor(0.0235),-1723.722366233274
Polynomial with Complex Roots_45_89,x**2,tensor(0.2274),-10.543466318137236
Polynomial with Complex Roots_45_90,x**6/16,tensor(0.2171),-12.006431788412641
Polynomial with Complex Roots_45_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc13a190>>
Polynomial with Complex Roots_45_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc16d6a0>>
Polynomial with Complex Roots_45_93,acos(x + 3),tensor(0.),0
Polynomial with Complex Roots_45_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4038a30>>
Polynomial with Complex Roots_45_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c166790>>
Polynomial with Complex Roots_45_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f47c0>>
Polynomial with Complex Roots_45_97,x*(x - 4) + x,tensor(0.2081),-13.487734308357718
Polynomial with Complex Roots_45_98,x*(x**2 + x)**3,tensor(0.2414),-8.871907993931245
Polynomial with Complex Roots_45_99,asin(2*x),tensor(0.),0
Polynomial with Complex Roots_45_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0386a0>>
Polynomial with Complex Roots_45_101,x + sin(2*x),tensor(0.2210),-11.41990509008257
Polynomial with Complex Roots_45_102,tan(x/2),tensor(0.2186),-11.779091267459757
Polynomial with Complex Roots_45_103,8/5,tensor(0.),0
Polynomial with Complex Roots_45_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1024c0>>
Polynomial with Complex Roots_45_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40622e0>>
Polynomial with Complex Roots_45_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062f10>>
Polynomial with Complex Roots_45_107,x + x/cos(x),tensor(0.2212),-11.394126196111499
Polynomial with Complex Roots_45_108,x**2*cos(3),tensor(0.2069),-13.697669249718333
Polynomial with Complex Roots_45_109,2*x + 4,tensor(0.4725),-0.24611803321900028
Polynomial with Complex Roots_45_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e7220>>
Polynomial with Complex Roots_45_111,4*x*atanh(x),tensor(0.2742),-6.009767511692793
Polynomial with Complex Roots_45_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1a2430>>
Polynomial with Complex Roots_45_113,2*x + 5,tensor(0.6261),0.6434816791467546
Polynomial with Complex Roots_45_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc03c6d0>>
Polynomial with Complex Roots_45_115,sinh(x + 1),tensor(0.2725),-6.1240912706316335
Polynomial with Complex Roots_45_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b8a60>>
Polynomial with Complex Roots_45_117,x**2 + 2*x,tensor(0.2327),-9.877905407621071
Polynomial with Complex Roots_45_118,x + cos(x) + 4,tensor(0.5307),0.2179641956618682
Polynomial with Complex Roots_45_119,x - exp(-x),tensor(0.1904),-17.09139288349157
Polynomial with Complex Roots_45_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0bee20>>
Polynomial with Complex Roots_45_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1a21c0>>
Polynomial with Complex Roots_45_122,sin(x + 2),tensor(0.2375),-9.310425235973634
Polynomial with Complex Roots_45_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc16dd90>>
Polynomial with Complex Roots_45_124,exp(x + 2),tensor(0.2697),-6.335348259381847
Polynomial with Complex Roots_45_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc18b250>>
Polynomial with Complex Roots_45_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b9370>>
Polynomial with Complex Roots_45_127,x*(-x**2 + x),tensor(0.2242),-10.970992383738178
Polynomial with Complex Roots_46_0,2*x**2 + x,tensor(0.2428),-8.720836897319288
Polynomial with Complex Roots_46_1,sqrt(x + 3),tensor(0.2796),-5.639957530228356
Polynomial with Complex Roots_46_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1370d0>>
Polynomial with Complex Roots_46_3,2*x**3*tan(2),tensor(0.2015),-14.711276820639133
Polynomial with Complex Roots_46_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f9790>>
Polynomial with Complex Roots_46_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c063100>>
Polynomial with Complex Roots_46_6,-x - 2,tensor(0.1701),-22.813375762815095
Polynomial with Complex Roots_46_7,-cos(x + 2),tensor(0.2298),-10.238052976545625
Polynomial with Complex Roots_46_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c04e970>>
Polynomial with Complex Roots_46_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f4730>>
Polynomial with Complex Roots_46_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa015eac0>>
Polynomial with Complex Roots_46_11,x*log(4*x) - 2*x,tensor(0.),0
Polynomial with Complex Roots_46_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa0101400>>
Polynomial with Complex Roots_46_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa0101df0>>
Polynomial with Complex Roots_46_14,2*x**2 + x + 3,tensor(0.4261),-0.8137003937825915
Polynomial with Complex Roots_46_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa0101af0>>
Polynomial with Complex Roots_46_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1da7c0>>
Polynomial with Complex Roots_46_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810ec70>>
Polynomial with Complex Roots_46_18,3*cosh(x),tensor(0.3850),-1.552226335805916
Polynomial with Complex Roots_46_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0cde80>>
Polynomial with Complex Roots_46_20,x/2,tensor(0.2185),-11.791911990214167
Polynomial with Complex Roots_46_21,3*x + 3,tensor(0.3693),-1.9169273593408271
Polynomial with Complex Roots_46_22,x + tan(x) + 1,tensor(0.2559),-7.456925423618733
Polynomial with Complex Roots_46_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0730a0>>
Polynomial with Complex Roots_46_24,13*x**2/14,tensor(0.2266),-10.645948908097203
Polynomial with Complex Roots_46_25,x + sin(x) + 5,tensor(0.6206),0.6262030965242383
Polynomial with Complex Roots_46_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062910>>
Polynomial with Complex Roots_46_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165370>>
Polynomial with Complex Roots_46_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165880>>
Polynomial with Complex Roots_46_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165160>>
Polynomial with Complex Roots_46_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165790>>
Polynomial with Complex Roots_46_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1652b0>>
Polynomial with Complex Roots_46_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165d00>>
Polynomial with Complex Roots_46_33,log(x + 1),tensor(0.2107),-13.02676446677584
Polynomial with Complex Roots_46_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06ca00>>
Polynomial with Complex Roots_46_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06cb50>>
Polynomial with Complex Roots_46_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165b20>>
Polynomial with Complex Roots_46_37,3*x + exp(x),tensor(0.2590),-7.184003053603899
Polynomial with Complex Roots_46_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0a4ac0>>
Polynomial with Complex Roots_46_39,4*x**2*(x + cos(x)),tensor(0.2554),-7.49978071723344
Polynomial with Complex Roots_46_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc18a4c0>>
Polynomial with Complex Roots_46_41,2*x - cos(x),tensor(0.1989),-15.225859629991916
Polynomial with Complex Roots_46_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1402e0>>
Polynomial with Complex Roots_46_43,sin(2*x)/8,tensor(0.2174),-11.961461146208178
Polynomial with Complex Roots_46_44,cos(x + 8),tensor(0.2098),-13.190918156782313
Polynomial with Complex Roots_46_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1cd310>>
Polynomial with Complex Roots_46_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02a4f0>>
Polynomial with Complex Roots_46_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0cdac0>>
Polynomial with Complex Roots_46_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06c970>>
Polynomial with Complex Roots_46_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06c400>>
Polynomial with Complex Roots_46_50,x*(x**2 + 2*x),tensor(0.2414),-8.87013737578264
Polynomial with Complex Roots_46_51,2*x*cos(1),tensor(0.2200),-11.572500706485666
Polynomial with Complex Roots_46_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1a73d0>>
Polynomial with Complex Roots_46_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1f2ac0>>
Polynomial with Complex Roots_46_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b6be0>>
Polynomial with Complex Roots_46_55,x*(x + 1),tensor(0.2310),-10.080957421249405
Polynomial with Complex Roots_46_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03c460>>
Polynomial with Complex Roots_46_57,pi*cos(2*x)/2,tensor(0.2338),-9.741525052911566
Polynomial with Complex Roots_46_58,-4*log(cos(x)),tensor(0.2413),-8.881511560584132
Polynomial with Complex Roots_46_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c26c040>>
Polynomial with Complex Roots_46_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0a0a60>>
Polynomial with Complex Roots_46_61,3*x + exp(x),tensor(0.2590),-7.184003053603899
Polynomial with Complex Roots_46_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc18bf40>>
Polynomial with Complex Roots_46_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc13a820>>
Polynomial with Complex Roots_46_64,2/x,tensor(0.0300),-1047.975152305215
Polynomial with Complex Roots_46_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0744c0>>
Polynomial with Complex Roots_46_66,x/4,tensor(0.2177),-11.91332559556593
Polynomial with Complex Roots_46_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c156bb0>>
Polynomial with Complex Roots_46_68,x**2*atan(x),tensor(0.2185),-11.785254111530296
Polynomial with Complex Roots_46_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c09f1c0>>
Polynomial with Complex Roots_46_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0a0910>>
Polynomial with Complex Roots_46_71,2*x**2*tan(2),tensor(0.1775),-20.476966535684145
Polynomial with Complex Roots_46_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0b4b20>>
Polynomial with Complex Roots_46_73,2*x**2 + 1,tensor(0.2770),-5.811784117190907
Polynomial with Complex Roots_46_74,x/2,tensor(0.2185),-11.791911990214167
Polynomial with Complex Roots_46_75,x**2 + E*x,tensor(0.2325),-9.892169055539014
Polynomial with Complex Roots_46_76,x + exp(x) + sin(x),tensor(0.2632),-6.835050706777559
Polynomial with Complex Roots_46_77,2*x + sin(x),tensor(0.2208),-11.454253745554565
Polynomial with Complex Roots_46_78,x + 1,tensor(0.2534),-7.683161947287273
Polynomial with Complex Roots_46_79,x*sin(1),tensor(0.2194),-11.652276373323959
Polynomial with Complex Roots_46_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0be100>>
Polynomial with Complex Roots_46_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc13a4c0>>
Polynomial with Complex Roots_46_82,-2*x**2 + x,tensor(0.1995),-15.101248992693442
Polynomial with Complex Roots_46_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03c430>>
Polynomial with Complex Roots_46_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc18b850>>
Polynomial with Complex Roots_46_85,x**2/sin(1),tensor(0.2295),-10.276999353550917
Polynomial with Complex Roots_46_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc074ac0>>
Polynomial with Complex Roots_46_87,-x**4/4 + 6*x,tensor(0.2081),-13.482629650028981
Polynomial with Complex Roots_46_88,-x**2 - x,tensor(0.2030),-14.418491802418743
Polynomial with Complex Roots_46_89,x + 1,tensor(0.2534),-7.683161947287273
Polynomial with Complex Roots_46_90,34*x**2,tensor(0.1242),-48.679786332279996
Polynomial with Complex Roots_46_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0cd700>>
Polynomial with Complex Roots_46_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4091610>>
Polynomial with Complex Roots_46_93,exp(2*x)/2,tensor(0.2529),-7.730797996151809
Polynomial with Complex Roots_46_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4038ca0>>
Polynomial with Complex Roots_46_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02d070>>
Polynomial with Complex Roots_46_96,tan(x)/2,tensor(0.2189),-11.726442206151034
Polynomial with Complex Roots_46_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1656d0>>
Polynomial with Complex Roots_46_98,-x**2,tensor(0.2068),-13.71509919404786
Polynomial with Complex Roots_46_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a78100dc0>>
Polynomial with Complex Roots_46_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0736d0>>
Polynomial with Complex Roots_46_101,8*x + exp(x),tensor(0.2125),-12.738277817056076
Polynomial with Complex Roots_46_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc073fd0>>
Polynomial with Complex Roots_46_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0731c0>>
Polynomial with Complex Roots_46_104,x,tensor(0.2198),-11.597732945121802
Polynomial with Complex Roots_46_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1e7850>>
Polynomial with Complex Roots_46_106,x*cos(x + 1),tensor(0.2103),-13.095683738734635
Polynomial with Complex Roots_46_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a78100970>>
Polynomial with Complex Roots_46_108,3*x**3,tensor(0.2208),-11.454406685100622
Polynomial with Complex Roots_46_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06c040>>
Polynomial with Complex Roots_46_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc105f40>>
Polynomial with Complex Roots_46_111,2*x*(x - 1),tensor(0.2246),-10.914593995425953
Polynomial with Complex Roots_46_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc16dc10>>
Polynomial with Complex Roots_46_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa015e700>>
Polynomial with Complex Roots_46_114,x*asinh(2*x),tensor(0.2339),-9.724015830397956
Polynomial with Complex Roots_46_115,x*(x**3 + x),tensor(0.2341),-9.708747949347623
Polynomial with Complex Roots_46_116,cos(2*x + 2),tensor(0.2071),-13.653933481916322
Polynomial with Complex Roots_46_117,x*(x**2 + x),tensor(0.2298),-10.227176120274823
Polynomial with Complex Roots_46_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1147c0>>
Polynomial with Complex Roots_46_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0cde20>>
Polynomial with Complex Roots_46_120,x + 3*exp(x),tensor(0.4033),-1.1899125985550296
Polynomial with Complex Roots_46_121,x*(sin(x) + 43),tensor(0.0624),-225.1301848933082
Polynomial with Complex Roots_46_122,-x**2 + cos(x),tensor(0.2295),-10.276420288948879
Polynomial with Complex Roots_46_123,-tan(x/2),tensor(0.2146),-12.394940388735359
Polynomial with Complex Roots_46_124,cos(x + 2),tensor(0.2045),-14.126878309480585
Polynomial with Complex Roots_46_125,1/(2*x + 4),tensor(0.2241),-10.982411546466032
Polynomial with Complex Roots_46_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c38ff10>>
Polynomial with Complex Roots_46_127,x**2*(x + 3),tensor(0.2535),-7.669753631232739
Polynomial with Complex Roots_47_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d9430>>
Polynomial with Complex Roots_47_1,sinh(x)**3,tensor(0.2195),-11.645387483127493
Polynomial with Complex Roots_47_2,x**2*cos(5),tensor(0.2197),-11.607421661988306
Polynomial with Complex Roots_47_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2d1430>>
Polynomial with Complex Roots_47_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c29cd60>>
Polynomial with Complex Roots_47_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0ec820>>
Polynomial with Complex Roots_47_6,x*(x*cosh(x) + x),tensor(0.2421),-8.798514393945391
Polynomial with Complex Roots_47_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b94c0>>
Polynomial with Complex Roots_47_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c156c70>>
Polynomial with Complex Roots_47_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c156580>>
Polynomial with Complex Roots_47_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b6a00>>
Polynomial with Complex Roots_47_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b66d0>>
Polynomial with Complex Roots_47_12,(x**2 + 5)**2,tensor(0.0654),-203.46200943337536
Polynomial with Complex Roots_47_13,cos(3*x) + 3,tensor(0.3323),-3.0387312831663795
Polynomial with Complex Roots_47_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074d60>>
Polynomial with Complex Roots_47_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc03ce20>>
Polynomial with Complex Roots_47_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0383d0>>
Polynomial with Complex Roots_47_17,x**2 + x*cos(1),tensor(0.2296),-10.261350299032648
Polynomial with Complex Roots_47_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d7910>>
Polynomial with Complex Roots_47_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0a1970>>
Polynomial with Complex Roots_47_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0732e0>>
Polynomial with Complex Roots_47_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc073e80>>
Polynomial with Complex Roots_47_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc073490>>
Polynomial with Complex Roots_47_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc073fa0>>
Polynomial with Complex Roots_47_24,x**3*exp(x) + x,tensor(0.2289),-10.344943808379615
Polynomial with Complex Roots_47_25,3*x + exp(x),tensor(0.2590),-7.184003053603899
Polynomial with Complex Roots_47_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1651f0>>
Polynomial with Complex Roots_47_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0cdfa0>>
