Square Root with Quadratic Term_0_0,x + tan(x),tensor(0.0754),-149.42550353068413
Square Root with Quadratic Term_85_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b06d0>>
Square Root with Quadratic Term_85_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0070>>
Square Root with Quadratic Term_85_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0c70>>
Square Root with Quadratic Term_85_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0220>>
Square Root with Quadratic Term_85_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a2520>>
Square Root with Quadratic Term_85_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a2400>>
Square Root with Quadratic Term_85_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a2d90>>
Square Root with Quadratic Term_85_90,-x**2,tensor(0.0758),-147.82544436438903
Square Root with Quadratic Term_85_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958056760>>
Square Root with Quadratic Term_85_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958056850>>
Square Root with Quadratic Term_85_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281f5040>>
Square Root with Quadratic Term_85_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281f5850>>
Square Root with Quadratic Term_85_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901941f0>>
Square Root with Quadratic Term_85_96,x + 4*tan(x),tensor(0.0518),-333.7412808155905
Square Root with Quadratic Term_85_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc504fa0>>
Square Root with Quadratic Term_85_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699829a2b0>>
Square Root with Quadratic Term_85_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6cc70>>
Square Root with Quadratic Term_85_100,4*x*acos(x),tensor(0.0405),-558.9432859133395
Square Root with Quadratic Term_85_101,x*(sin(x) + 4),tensor(0.0679),-187.17136825464848
Square Root with Quadratic Term_85_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901945e0>>
Square Root with Quadratic Term_85_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990194970>>
Square Root with Quadratic Term_85_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81805e0>>
Square Root with Quadratic Term_85_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180100>>
Square Root with Quadratic Term_85_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180550>>
Square Root with Quadratic Term_85_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81806d0>>
Square Root with Quadratic Term_85_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81809a0>>
Square Root with Quadratic Term_85_109,1 - x**4,tensor(0.1153),-57.86200164841615
Square Root with Quadratic Term_85_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180ee0>>
Square Root with Quadratic Term_85_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180280>>
Square Root with Quadratic Term_85_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180f70>>
Square Root with Quadratic Term_85_113,x**3 - 3*x,tensor(0.0764),-145.3196887544249
Square Root with Quadratic Term_85_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2562a60>>
Square Root with Quadratic Term_85_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980778b0>>
Square Root with Quadratic Term_85_116,x + tan(x) + 5,tensor(0.0874),-108.13053253477918
Square Root with Quadratic Term_85_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc038f70>>
Square Root with Quadratic Term_85_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699005d1c0>>
Square Root with Quadratic Term_85_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5ed00>>
Square Root with Quadratic Term_85_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980aeb20>>
Square Root with Quadratic Term_85_121,1/(2*x),tensor(0.0185),-2826.1669228253736
Square Root with Quadratic Term_85_122,exp(5*x)/5,tensor(0.0404),-562.0292590576619
Square Root with Quadratic Term_85_123,-2/(7*x**2),tensor(0.0001),-53079100.450518
Square Root with Quadratic Term_85_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699011a850>>
Square Root with Quadratic Term_85_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66c250>>
Square Root with Quadratic Term_85_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66cd30>>
Square Root with Quadratic Term_85_127,3*x**2*(x + 1),tensor(0.0963),-87.0295871706646
Square Root with Quadratic Term_86_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80f2160>>
Square Root with Quadratic Term_86_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80f23d0>>
Square Root with Quadratic Term_86_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc2212e0>>
Square Root with Quadratic Term_86_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e010eeb0>>
Square Root with Quadratic Term_86_4,x*(x**3 + x**2),tensor(0.0880),-106.47758782510564
Square Root with Quadratic Term_86_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281cc0d0>>
Square Root with Quadratic Term_86_6,-2*x**3,tensor(0.0819),-124.82651819089152
Square Root with Quadratic Term_86_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306580>>
Square Root with Quadratic Term_86_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68fb50>>
Square Root with Quadratic Term_86_9,x*(x + 1),tensor(0.0904),-100.12897490439258
Square Root with Quadratic Term_86_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc68f970>>
Square Root with Quadratic Term_86_11,2*x + 2,tensor(0.1513),-30.4828999103972
Square Root with Quadratic Term_86_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998077c10>>
Square Root with Quadratic Term_86_13,1/(2*x**3 + x),tensor(0.0095),-10965.28982154353
Square Root with Quadratic Term_86_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301be190>>
Square Root with Quadratic Term_86_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998367940>>
Square Root with Quadratic Term_86_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0181a30>>
Square Root with Quadratic Term_86_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306340>>
Square Root with Quadratic Term_86_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306160>>
Square Root with Quadratic Term_86_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306c10>>
Square Root with Quadratic Term_86_20,8/5,tensor(0.),0
Square Root with Quadratic Term_86_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0025040>>
Square Root with Quadratic Term_86_22,8*x**2 + 2*x,tensor(0.0806),-129.05417121507972
Square Root with Quadratic Term_86_23,x**2*acosh(x) + x,tensor(0.),0
Square Root with Quadratic Term_86_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699811fb50>>
Square Root with Quadratic Term_86_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998377b50>>
Square Root with Quadratic Term_86_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc199310>>
Square Root with Quadratic Term_86_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc199f10>>
Square Root with Quadratic Term_86_28,3*x + exp(x),tensor(0.0793),-133.785349275074
Square Root with Quadratic Term_86_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958130760>>
Square Root with Quadratic Term_86_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8063700>>
Square Root with Quadratic Term_86_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990130670>>
Square Root with Quadratic Term_86_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990130b20>>
Square Root with Quadratic Term_86_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990130310>>
Square Root with Quadratic Term_86_34,x/(x**2 + 1),tensor(0.0831),-120.65556345662904
Square Root with Quadratic Term_86_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692810c9a0>>
Square Root with Quadratic Term_86_36,x + sin(x) + 2,tensor(0.1557),-28.401946205939257
Square Root with Quadratic Term_86_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281ccd30>>
Square Root with Quadratic Term_86_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998237580>>
Square Root with Quadratic Term_86_39,x**3 + x,tensor(0.0792),-134.22677448586555
Square Root with Quadratic Term_86_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815b670>>
Square Root with Quadratic Term_86_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990193670>>
Square Root with Quadratic Term_86_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f8f10>>
Square Root with Quadratic Term_86_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f8bb0>>
Square Root with Quadratic Term_86_44,2*x + 8,tensor(0.0445),-459.96391752716397
Square Root with Quadratic Term_86_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580683d0>>
Square Root with Quadratic Term_86_46,112*x*log(x),tensor(0.),0
Square Root with Quadratic Term_86_47,x,tensor(0.0820),-124.3759631863054
Square Root with Quadratic Term_86_48,6*x + 4,tensor(0.0635),-216.46210485187032
Square Root with Quadratic Term_86_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983e8bb0>>
Square Root with Quadratic Term_86_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ff4f0>>
Square Root with Quadratic Term_86_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ff0d0>>
Square Root with Quadratic Term_86_52,x + atanh(5),tensor(0.),0
Square Root with Quadratic Term_86_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ff3a0>>
Square Root with Quadratic Term_86_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d43d0>>
Square Root with Quadratic Term_86_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80dd9a0>>
Square Root with Quadratic Term_86_56,4*x**(3/2)/3,tensor(0.),0
Square Root with Quadratic Term_86_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699829abe0>>
Square Root with Quadratic Term_86_58,(2*x**2 + x)**4,tensor(0.0176),-3122.7944240225747
Square Root with Quadratic Term_86_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d4a00>>
Square Root with Quadratic Term_86_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980ae4f0>>
Square Root with Quadratic Term_86_61,-x*cos(x) + x,tensor(0.0839),-118.36224878830369
Square Root with Quadratic Term_86_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693016d4f0>>
Square Root with Quadratic Term_86_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc504310>>
Square Root with Quadratic Term_86_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d56d0>>
Square Root with Quadratic Term_86_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d5370>>
Square Root with Quadratic Term_86_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d54f0>>
Square Root with Quadratic Term_86_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901abe50>>
Square Root with Quadratic Term_86_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901ab6a0>>
Square Root with Quadratic Term_86_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901ab610>>
Square Root with Quadratic Term_86_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901ab0a0>>
Square Root with Quadratic Term_86_71,9*x**2/2,tensor(0.1121),-61.7660081169779
Square Root with Quadratic Term_86_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580990d0>>
Square Root with Quadratic Term_86_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958099670>>
Square Root with Quadratic Term_86_74,x**2*exp(x) + x,tensor(0.0883),-105.6360853244508
Square Root with Quadratic Term_86_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc48ae20>>
Square Root with Quadratic Term_86_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a20a0>>
Square Root with Quadratic Term_86_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc09ce80>>
Square Root with Quadratic Term_86_78,x**3 + x,tensor(0.0792),-134.22677448586555
Square Root with Quadratic Term_86_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f9ea60>>
Square Root with Quadratic Term_86_80,x**2 + x + log(x),tensor(0.),0
Square Root with Quadratic Term_86_81,x**4/32,tensor(0.0843),-116.9073989835812
Square Root with Quadratic Term_86_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f8fa0>>
Square Root with Quadratic Term_86_83,-6*x**2 + 2*x,tensor(0.0461),-427.98478167779604
Square Root with Quadratic Term_86_84,tan(x**2)/2,tensor(0.0894),-102.67456341010191
Square Root with Quadratic Term_86_85,x*(x**3 + x),tensor(0.0978),-84.19577191401022
Square Root with Quadratic Term_86_86,3*x - cos(x),tensor(0.0586),-257.33284603372124
Square Root with Quadratic Term_86_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2562e20>>
Square Root with Quadratic Term_86_88,3 - x,tensor(0.2604),-7.062972405296094
Square Root with Quadratic Term_86_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998198220>>
Square Root with Quadratic Term_86_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc221370>>
Square Root with Quadratic Term_86_91,sinh(2*x + 3),tensor(0.0102),-9351.193381316389
Square Root with Quadratic Term_86_92,x*(x + 5) + x,tensor(0.0548),-296.24521675675703
Square Root with Quadratic Term_86_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8063e80>>
Square Root with Quadratic Term_86_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0181be0>>
Square Root with Quadratic Term_86_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0181700>>
Square Root with Quadratic Term_86_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0181b20>>
Square Root with Quadratic Term_86_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981f2910>>
Square Root with Quadratic Term_86_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980769a0>>
Square Root with Quadratic Term_86_99,9*x**2/2,tensor(0.1121),-61.7660081169779
Square Root with Quadratic Term_86_100,x**4 + x + 2,tensor(0.2125),-12.73601662110721
Square Root with Quadratic Term_86_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81a8100>>
Square Root with Quadratic Term_86_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998367c70>>
Square Root with Quadratic Term_86_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983672e0>>
Square Root with Quadratic Term_86_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc199190>>
Square Root with Quadratic Term_86_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1991c0>>
Square Root with Quadratic Term_86_106,x**2*(2*x + cos(x)),tensor(0.0867),-110.09160107061396
Square Root with Quadratic Term_86_107,x**6/6,tensor(0.0848),-115.60100134098866
Square Root with Quadratic Term_86_108,x*log(x) + x/4,tensor(0.),0
Square Root with Quadratic Term_86_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc73dd30>>
Square Root with Quadratic Term_86_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b283b2b0>>
Square Root with Quadratic Term_86_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998198cd0>>
Square Root with Quadratic Term_86_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998198ee0>>
Square Root with Quadratic Term_86_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc64b910>>
Square Root with Quadratic Term_86_114,exp(3*x + 1),tensor(0.0172),-3256.1176797200883
Square Root with Quadratic Term_86_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc64b250>>
Square Root with Quadratic Term_86_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43040>>
Square Root with Quadratic Term_86_117,x**3 + x**2,tensor(0.0919),-96.56416123345471
Square Root with Quadratic Term_86_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25628e0>>
Square Root with Quadratic Term_86_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699829abb0>>
Square Root with Quadratic Term_86_120,x**3 + x**2 + x,tensor(0.0868),-109.71962619237927
Square Root with Quadratic Term_86_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4c7430>>
Square Root with Quadratic Term_86_122,1/(2*x + 5),tensor(0.0906),-99.77803679091376
Square Root with Quadratic Term_86_123,x**2/(x + 5),tensor(0.0860),-111.94740759744019
Square Root with Quadratic Term_86_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4f70>>
Square Root with Quadratic Term_86_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1ce610>>
Square Root with Quadratic Term_86_126,exp(2*x)/x,tensor(0.0094),-11030.878265604813
Square Root with Quadratic Term_86_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301beee0>>
Square Root with Quadratic Term_87_0,x*(x + 5) + 2*x,tensor(0.0495),-368.10460275329325
Square Root with Quadratic Term_87_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66cdf0>>
Square Root with Quadratic Term_87_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281f52b0>>
Square Root with Quadratic Term_87_3,x**3/log(4),tensor(0.0836),-119.29852663307766
Square Root with Quadratic Term_87_4,x**7/7,tensor(0.0841),-117.48499377215609
Square Root with Quadratic Term_87_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80ddac0>>
Square Root with Quadratic Term_87_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981f5fa0>>
Square Root with Quadratic Term_87_7,x*(x*acos(x) + sin(x)),tensor(0.1039),-73.3102472207281
Square Root with Quadratic Term_87_8,exp(x + 3),tensor(0.0101),-9545.674992068884
Square Root with Quadratic Term_87_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2ca9d90>>
Square Root with Quadratic Term_87_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1e0df0>>
Square Root with Quadratic Term_87_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981df100>>
Square Root with Quadratic Term_87_12,x + cos(x/2),tensor(0.1176),-55.29775838731803
Square Root with Quadratic Term_87_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699005b220>>
Square Root with Quadratic Term_87_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b3160>>
Square Root with Quadratic Term_87_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4c0ca0>>
Square Root with Quadratic Term_87_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981b4130>>
Square Root with Quadratic Term_87_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981b48b0>>
Square Root with Quadratic Term_87_18,-x + asinh(x),tensor(0.0842),-117.31177006707283
Square Root with Quadratic Term_87_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc11c790>>
Square Root with Quadratic Term_87_20,8*x**3,tensor(0.0568),-274.2507157584568
Square Root with Quadratic Term_87_21,exp(x)*sin(x),tensor(0.0894),-102.67753605065222
Square Root with Quadratic Term_87_22,log(x + 2),tensor(0.1061),-69.94363161045116
Square Root with Quadratic Term_87_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982cf970>>
Square Root with Quadratic Term_87_24,sin(x) + cos(x),tensor(0.1129),-60.753033820543976
Square Root with Quadratic Term_87_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc14b220>>
Square Root with Quadratic Term_87_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281bd160>>
Square Root with Quadratic Term_87_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b283b700>>
Square Root with Quadratic Term_87_28,2*x**2,tensor(0.1022),-76.25260537955216
Square Root with Quadratic Term_87_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f9e250>>
Square Root with Quadratic Term_87_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1cb2b0>>
Square Root with Quadratic Term_87_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281cc820>>
Square Root with Quadratic Term_87_32,2*x + 1/(x + 2),tensor(0.0936),-92.80938245779124
Square Root with Quadratic Term_87_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900fd820>>
Square Root with Quadratic Term_87_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5ed30>>
Square Root with Quadratic Term_87_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc146a90>>
Square Root with Quadratic Term_87_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1468b0>>
Square Root with Quadratic Term_87_37,x*sinh(3),tensor(0.0369),-678.6801778577529
Square Root with Quadratic Term_87_38,2*x**3 + x,tensor(0.0755),-148.7415708541102
Square Root with Quadratic Term_87_39,x*log(5),tensor(0.0793),-133.9629043658276
Square Root with Quadratic Term_87_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc221bb0>>
Square Root with Quadratic Term_87_41,x**2/(x + 4),tensor(0.0865),-110.53332997964775
Square Root with Quadratic Term_87_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981f5970>>
Square Root with Quadratic Term_87_43,-sqrt(x) + 2*x**2,tensor(0.),0
Square Root with Quadratic Term_87_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928074eb0>>
Square Root with Quadratic Term_87_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c4da00>>
Square Root with Quadratic Term_87_46,x**3/12,tensor(0.0841),-117.49487692675338
Square Root with Quadratic Term_87_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00543a0>>
Square Root with Quadratic Term_87_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2065a90>>
Square Root with Quadratic Term_87_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b20653d0>>
Square Root with Quadratic Term_87_50,(x + 2)*exp(x),tensor(0.1009),-78.36070257417873
Square Root with Quadratic Term_87_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699815a400>>
Square Root with Quadratic Term_87_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc54df70>>
Square Root with Quadratic Term_87_53,4*x,tensor(0.0643),-210.57769653256253
Square Root with Quadratic Term_87_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0068040>>
Square Root with Quadratic Term_87_55,x**2*sin(x) + x,tensor(0.0796),-132.84255924512473
Square Root with Quadratic Term_87_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00906a0>>
Square Root with Quadratic Term_87_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6280>>
Square Root with Quadratic Term_87_58,x**5,tensor(0.0835),-119.46329294358387
Square Root with Quadratic Term_87_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998187a00>>
Square Root with Quadratic Term_87_60,8*x**3,tensor(0.0568),-274.2507157584568
Square Root with Quadratic Term_87_61,x**3/3 + x,tensor(0.0812),-127.1413463896383
Square Root with Quadratic Term_87_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281bd580>>
Square Root with Quadratic Term_87_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc489c10>>
Square Root with Quadratic Term_87_64,sinh(x)**2,tensor(0.0950),-89.72928004711352
Square Root with Quadratic Term_87_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c1c0>>
Square Root with Quadratic Term_87_66,2*x - log(x),tensor(0.),0
Square Root with Quadratic Term_87_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6f2670>>
Square Root with Quadratic Term_87_68,5*pi,tensor(0.),0
Square Root with Quadratic Term_87_69,2*x**3/3,tensor(0.0836),-119.06956131510485
Square Root with Quadratic Term_87_70,4*asinh(x),tensor(0.0663),-197.08131302104306
Square Root with Quadratic Term_87_71,x*(x + cos(x - 1)),tensor(0.0996),-80.73729810102719
Square Root with Quadratic Term_87_72,5*log(x),tensor(0.),0
Square Root with Quadratic Term_87_73,x/sin(5),tensor(0.0828),-121.7118327841622
Square Root with Quadratic Term_87_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc19a7c0>>
Square Root with Quadratic Term_87_75,cos(x),tensor(0.1176),-55.32013786348961
Square Root with Quadratic Term_87_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990173160>>
Square Root with Quadratic Term_87_77,7*x**2/2,tensor(0.1114),-62.63438136112144
Square Root with Quadratic Term_87_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b1c70>>
